fecha_extraccion,sistema_origen,archivo_origen,nro_linea_archivo,legajo,nombre,apellido,departamento_codigo,departamento_descripcion,tipo_empleado,salario,precio_hora,precio_hora_extra,consultora_cuit,consultora_razon_social,evaluacion_2024,evaluacion_2023,evaluacion_2022,evaluacion_2021,evaluacion_2020,rotacion
2026-06-29,sistema_rrhh_legacy,rrhh.csv,55,55,Facundo,Moyano,D004,Ventas,Efectivo,166939.31,,,,,Bueno,Bueno,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,56,56,Thiago Lionel,Perez,D005,Operaciones,Efectivo,41407.65,,,,,Malo,Bueno,Excelente,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,57,57,Guillermina,Lopez,D003,IT,Contratado,,3657.52,4587.05,30-99887766-1,Consultora Delta,Bueno,Bueno,Excelente,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,58,58,Ian Ezequiel,Aguero,D005,Operaciones,Efectivo,111029.78,,,,,Excelente,Bueno,Excelente,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,59,59,Juana,Godoy,D004,Ventas,Efectivo,,,,,,Bueno,Bueno,Malo,Bueno,Bueno,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,60,60,Tomas,Fernandez,D005,Operaciones,Efectivo,60372.93,,,,,Excelente,Bueno,Regular,Regular,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,61,61,Paulina,Rojas,D005,Operaciones,Contratado,,2824.26,4857.11,30-87654321-0,Consultora Beta,Bueno,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,62,62,Santiago Benjamin,Pereyra,D002,Recursos Humanos,Contratado,,4182.32,3981.73,30-87654321-0,Consultora Beta,Malo,Bueno,Malo,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,63,63,Benjamin,Romero,D004,Ventas,Efectivo,95745.19,,,,,Bueno,Excelente,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,64,64,Benjamin,Soria,D004,Ventas,Efectivo,104947.29,,,,,Malo,Bueno,Regular,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,65,65,Emiliano,Rivero,D003,IT,Efectivo,147462.06,,,,,Excelente,Malo,Excelente,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,66,66,Julieta,Rodriguez,D005,Operaciones,Efectivo,129862.53,,,,,Excelente,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,67,67,Enzo,Leiva,D002,Recursos Humanos,Contratado,,2576.19,5013.27,30-12345678-9,Consultora Alfa,Regular,Excelente,Bueno,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,68,68,Catalina,Suarez,D004,Ventas,Efectivo,122912.33,,,,,Regular,Excelente,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,69,69,Bautista,Coronel,D005,Operaciones,Contratado,,3774.92,3797.95,30-12345678-9,Consultora Alfa,Bueno,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,70,70,Bautista Benjamin,Fernandez,D004,Ventas,Efectivo,110170.14,,,,,Malo,Bueno,Regular,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,71,71,Agustin,Molina,D003,IT,Contratado,,2686.31,3036.49,30-99887766-1,Consultora Delta,Bueno,Regular,Bueno,Bueno,Bueno,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,72,72,Thiago Benjamin,Hernandez,D003,IT,Contratado,,3236.9,4761.06,30-87654321-0,Consultora Beta,Regular,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,73,73,Pedro,Diaz,D004,Ventas,Efectivo,120153.4,,,,,Regular,Bueno,Regular,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,74,74,Juan Pablo,Ojeda,D002,Recursos Humanos,Efectivo,112962.39,,,,,Regular,Bueno,Regular,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,75,75,Sofia,Sanchez,D001,Finanzas,Efectivo,77538.88,,,,,Bueno,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,76,76,Jeronimo,Ferreyra,D004,Ventas,Contratado,,2663.48,4157.29,30-11223344-5,Consultora Gamma,Bueno,Bueno,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,77,77,Simon,Gutierrez,D005,Operaciones,Contratado,,2358.18,4338.71,30-87654321-0,Consultora Beta,Excelente,Regular,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,78,78,Juan Ignacio,Martinez,D001,Finanzas,Contratado,,3323.24,6386.19,30-11223344-5,Consultora Gamma,Bueno,Excelente,Excelente,Bueno,Bueno,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,79,79,Alma,Nuñez,D005,Operaciones,Efectivo,125237.33,,,,,Malo,Bueno,Regular,Excelente,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,80,80,Francisco,Diaz,D004,Ventas,Efectivo,127726.51,,,,,Excelente,Excelente,Malo,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,81,81,Bautista,Morales,D001,Finanzas,Efectivo,117766.62,,,,,Bueno,Excelente,Regular,Malo,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,82,82,Francisco,Barrios,D005,Operaciones,Contratado,,1464.98,4473.49,30-87654321-0,Consultora Beta,Regular,Bueno,Malo,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,83,83,Alma Mia,Rodriguez,D005,Operaciones,Contratado,,3048.18,6963.24,30-12345678-9,Consultora Alfa,Malo,Bueno,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,84,84,Emma,Carrizo,D001,Finanzas,???,114229.17,,,,,Bueno,Bueno,Bueno,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,85,85,Delfina,Fernandez,D004,Ventas,Efectivo,129046.42,,,,,Bueno,Bueno,Regular,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,86,86,Santiago Nicolas,Ortiz,D001,Finanzas,Efectivo,118958.65,,,,,Bueno,Malo,Regular,Excelente,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,87,87,Agustin,Caceres,D005,Operaciones,Contratado,,2065.06,5642.82,30-99887766-1,Consultora Delta,Excelente,Bueno,Bueno,Malo,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,88,88,Micaela,Lopez,D001,Finanzas,Efectivo,142557.99,,,,,Regular,Regular,Bueno,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,89,89,Catalina,Benitez,D005,Operaciones,Efectivo,143730.96,,,,,Excelente,Regular,Regular,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,90,90,Pedro,Herrera,D005,Operaciones,Contratado,,2272.49,5902.79,30-11223344-5,Consultora Gamma,Excelente,Bueno,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,91,91,Sebastian,Peralta,D003,IT,Efectivo,77944.47,,,,,Excelente,Excelente,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,92,92,Dylan Benjamin,Gomez,D005,Operaciones,Efectivo,137605.71,,,,,Excelente,Bueno,Excelente,Regular,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,93,93,Lola,Romero,D001,Finanzas,Contratado,,4752.36,3509.46,30-99887766-1,Consultora Delta,Bueno,Excelente,Bueno,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,94,94,Candela,Martinez,D002,Recursos Humanos,Efectivo,103011.07,,,,,Excelente,Bueno,Regular,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,95,95,Santiago,Acosta,D002,Recursos Humanos,Contratado,,3079.72,3996.52,30-11223344-5,Consultora Gamma,Bueno,Bueno,Excelente,Malo,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,96,96,Ciro,Garcia,D001,Finanzas,Contratado,,1759.47,4568.56,30-87654321-0,Consultora Beta,Bueno,Regular,Bueno,Bueno,Regular,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,97,97,Valentina,Blanco,D002,Recursos Humanos,Efectivo,88130.89,,,,,Excelente,Excelente,Bueno,Regular,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,98,98,Simon,Guzman,D004,Ventas,Efectivo,134207.77,,,,,Regular,Bueno,Excelente,Regular,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,99,99,Nicolas,Rodriguez,D004,Ventas,Contratado,,2264.46,6049.93,30-99887766-1,Consultora Delta,Bueno,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,100,100,Angel Gabriel,Miranda,D002,Recursos Humanos,Contratado,,2373.4,4177.94,30-87654321-0,Consultora Beta,Bueno,Bueno,Regular,Excelente,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,101,101,León,Blanco,D004,Ventas,Efectivo,144405.52,,,,,Bueno,Regular,Malo,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,102,102,Juan Francisco,Lopez,D005,Operaciones,Efectivo,83074.07,,,,,Excelente,Regular,Excelente,Malo,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,103,103,Pilar,Diaz,D002,Recursos Humanos,Efectivo,126823.8,,,,,Regular,Bueno,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,104,104,Lola,Rodriguez,D005,Operaciones,Efectivo,159214.28,,,,,Bueno,Regular,Regular,Regular,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,105,105,Olivia,Velazquez,D003,IT,Contratado,,1714.01,4684.63,30-12345678-9,Consultora Alfa,Bueno,Excelente,Bueno,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,106,106,Thiago Benjamin,Vargas,D001,Finanzas,Efectivo,127796.48,,,,,Regular,Bueno,Bueno,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,107,107,Facundo,Flores,D002,Recursos Humanos,Efectivo,143454.69,,,,,Excelente,Regular,Bueno,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,108,108,Gino,Toledo,D004,Ventas,Contratado,,2010.44,3179.54,30-99887766-1,Consultora Delta,Bueno,Excelente,Regular,Malo,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,109,109,Lautaro Benjamin,Vera,D004,Ventas,Contratado,,3417.55,4796.98,30-11223344-5,Consultora Gamma,Bueno,Bueno,Bueno,Regular,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,110,110,Felipe,Garcia,D004,Ventas,Efectivo,127514.79,,,,,Bueno,Bueno,Bueno,Bueno,Excelente,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,111,111,León,Silva,D004,Ventas,Efectivo,130393.45,,,,,Bueno,Bueno,Regular,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,112,112,Juan Pablo,Cardozo,D003,IT,Contratado,,2455.98,4732.25,30-87654321-0,Consultora Beta,Bueno,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,113,113,Isabella,Nuñez,D002,Recursos Humanos,Contratado,,3234.46,,30-12345678-9,Consultora Alfa,Bueno,Bueno,Bueno,Regular,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,114,114,Juan Bautista,Roldan,D004,Ventas,???,175973.24,,,,,Excelente,Bueno,Malo,Bueno,Malo,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,115,115,Mateo,Campos,D003,IT,Contratado,,3379.07,3308.7,30-99887766-1,Consultora Delta,Malo,Bueno,Regular,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,116,116,Bautista,Lopez,D002,Recursos Humanos,Contratado,,3525.24,3525.32,30-99887766-1,Consultora Delta,Malo,Regular,Bueno,Regular,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,117,117,Mia,Peralta,D004,Ventas,Efectivo,143612.54,,,,,Regular,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,118,118,Francisco,Gomez,D004,Ventas,Efectivo,154757.87,,,,,Regular,Bueno,Malo,Bueno,Excelente,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,119,119,Mateo Agustin,Martinez,D003,IT,Contratado,,2343.45,5463.38,30-12345678-9,Consultora Alfa,Excelente,Malo,Bueno,Bueno,Excelente,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,120,120,Mia,Rios,D002,Recursos Humanos,Efectivo,132383.43,,,,,Bueno,Malo,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,121,121,Ciro,Nuñez,D004,Ventas,Contratado,,3657.65,6396.79,30-99887766-1,Consultora Delta,Bueno,Malo,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,122,122,Maximo,Maidana,D002,Recursos Humanos,Contratado,,2803.69,3746.26,30-12345678-9,Consultora Alfa,Malo,Bueno,Malo,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,123,123,Sofia,Vera,D001,Finanzas,Contratado,,2288.39,3684.19,30-99887766-1,Consultora Delta,Excelente,Bueno,Bueno,Malo,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,124,124,Emma,Ruiz,D002,Recursos Humanos,Contratado,,2938.32,4841.15,30-87654321-0,Consultora Beta,Excelente,Regular,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,125,125,Felicitas,Garcia,D002,Recursos Humanos,Contratado,,3221.35,5327.18,30-12345678-9,Consultora Alfa,Bueno,Malo,Malo,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,126,126,Josefina,Cardozo,D001,Finanzas,Efectivo,120390.06,,,,,Bueno,Regular,Bueno,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,127,127,Bautista,Medina,D004,Ventas,Efectivo,163606.02,,,,,Regular,Bueno,Regular,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,128,128,Mateo Joaquin,Franco,D005,Operaciones,Efectivo,112060.3,,,,,Regular,Regular,Bueno,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,129,129,Bautista,Diaz,D004,Ventas,Contratado,,5176.14,5125.67,30-99887766-1,Consultora Delta,Bueno,Bueno,Malo,Excelente,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,130,130,Thiago Benjamin,Maidana,D001,Finanzas,Efectivo,94285.27,,,,,Bueno,Bueno,Regular,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,131,131,Justina,Lucero,D005,Operaciones,Contratado,,2143.29,4982.47,30-12345678-9,Consultora Alfa,Regular,Excelente,Bueno,Regular,Bueno,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,132,132,Thiago,Fernandez,D004,Ventas,Efectivo,113296.12,,,,,Bueno,Bueno,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,133,133,Zoe Jazmin,Quiroga,D003,IT,Efectivo,141420.01,,,,,Excelente,Malo,Excelente,Regular,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,134,134,Tomas,Olivera,D003,IT,Contratado,,3378.59,4427.17,30-12345678-9,Consultora Alfa,Bueno,Bueno,Bueno,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,135,135,Ambar,Gonzalez,D004,Ventas,Contratado,,2322.57,,30-12345678-9,Consultora Alfa,Malo,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,136,136,Augusto,Garcia,D002,Recursos Humanos,Contratado,,2642.79,5356.4,30-11223344-5,Consultora Gamma,Regular,Bueno,Regular,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,137,137,Antonella,Acuña,D005,Operaciones,Contratado,,3171.27,,30-12345678-9,Consultora Alfa,Bueno,Bueno,Bueno,Excelente,Bueno,0
